 Question ,Option A,Option B,Option C,Option D,Correct Answer,Difficulty Level ,Score for Right Answers
Which programming language is commonly used for system-level programming ?,A) Java,B) Python,C) C,D) JavaScript,C,Easy,1
Who is the Founder of Java ?,A) Dennis Ritchie,B) James Gosling,C) Larry Wall,D) None from Here,B,Easy,1
OS Stands for ?,A) Operating System,B) Operational System,C) Operational Source,D) Operating Source,A,Easy,1
OS Comes under What Category ?,A) Application Software,B) Language Translator,C) Language System,D) System Software,D,Easy,1
Which is a OS ?,A) Unix,B) C and Unix,C) C,D) Unix and Linux,D,Easy,1
What is the correct variable declaration for an integer in C ?,A) x = int;,B) int = x;,C)  int x;,D) integer = x;,C,Easy,1
Which database model is based on the concept of tables ?,A) Hierarchical model,B) Relational model,C) Network model,D) Object-oriented model,B,Easy Medium,2
Which Data Structure is also Called a List ?,A) Tree,B) Stack,C) Queue,D) Array,D,Easy Medium,2
Function in Programming is a ?,A) Statement,B) Block of Code known as subroutine ,C) Varible,D) None from Here,B,Easy Medium,2
Which is Correct Way to print something in C++ ?,A) cout'Hello';,B) cout<<'Hello'; ,C) printf('Hello'); ,D) cout<<``Hello``;,D,Easy Medium,2
What Operators are the Arithmetic Operators ?,A) Mathematical Operators,B) Logic System Operators ,C) Bit Level Operators,D) Comparision Level Operators,A,Easy Medium,2
What Statement True About String ?,A) String is a Character ,B) String is a Integer,C) String Considered as the Collection of Characters,D) String Considered as the Collection of Integers,C,Easy Medium,2
Which is Not a Operating System ?,A) Unix,B) Linux,C) DOS,D) None from Here,D,Easy Medium,2
Which is Not a Preemptive Datatype in C ?,A) Integer,B) Array,C) Float,D) Double,B,Easy Medium,2
Which Data Structure having no sequence for Storing Data ?,A) Array,B) Queue,C) Double Ended-Q,D) None ,D,Easy Medium,2
Which Data Structure is called Non - Linear Data Structure Type ?,A) That does not have the Proper order for Storing and Accessing Data,B) That have the Proper order for Storing and Accessing Data,C) That Easily Accessible,D) That Not Easily Accessible,A,Easy Medium,2
Which Data Structure is called Linear Data Structure Type ?,A) That does not have the Proper order for Storing and Accessing Data,B) That have the Proper order for Storing and Accessing Data,C) That Easily Accessible,D) That Not Easily Accessible,B,Easy Medium,2
Which is the Correct Example for Assembly Language Code ?,A) mov a b,B) Mov A,C) ADD B,D) None ,C,Easy Medium,2
RAID Stands for ?,A) Redundant Array of Independent Disks,B) Random Access and Integrated Data,C) Reliable Array of Inexpensive Drives,D) Rapid Access and Intelligent Data,A,Easy Medium,2
Difference Between the C and C++ ?,A) C and C++ are Same ,B)  C is a Functional Programming and C++ is a Object Oriented Programming Language,C) C is High Level and C++ is Not High Level Language,D) None,B,Easy Medium,2
In C and C++ What is Var++ /  Var -- and ++Var / --Var ?,A) ++Var/--Var is Post Increment/Decrement and Var++/Var-- is Pre Increment/Decrement,B) Arithemetic Operator,C) ++Var/--Var is Pre Increment/Decrement and Var++/Var-- is Post Increment/Decrement,D) Bitwise Operator,C,Easy Medium,2
The Data Structure that Implement in the Lines of Banks  Railway Stations  and At Many Public Places ?,A) Stack ,B) BST,C) Array,D) Queue,D,Easy Medium,2
The Data Structure that Follows the FIFO Principle (First-In-First-Out) ?,A) Queue,B) Array,C) Stack ,D) None,A,Easy Medium,2
Tree is a Non Linear Data Structure ?,A) Yes,B) No,C) Not a Valid Question,D) Not a Valid Option to Answer,A,Easy Medium,2
In What Another Non-Preemptive Type in C Except Array ?,A) Float,B) Integer,C) Structure,D) None,C,Easy Medium,2
Python was Inroduced though inspiration of which Animal ?,A) Lion,B) Cheetah,C) Kangaroo,D) Snake,D,Easy Medium,2
Java was Inroduced though inspiration of which Thing ?,A) Apple,B) Coffee,C) Tea,D) Snake,B,Easy Medium,2
What is Compiler in case of Programming ?,A) A Language Translator Converts High Level Langauge to Machine Level Langauge,B) A Language Translator Converts Low Level Langauge to High Level Langauge,C) A Language Translator Converts Middle Level Langauge to Machine Level Langauge,D) Machine Level Langauge,A,Easy Medium,2
What is the role of an IDE (Integrated Development Environment) in software development ?,A) To secure network connections,B) To optimize database queries,C) To manage hardware resources,D) To provide a user-friendly interface for programming,D,Easy Medium,2
What is Software ?,A) Collections of Instructions writing in a High Level Language,B) Collection of Instructions Writing in Low Level Language,C) Collection of Various Programs Writing in a High Level Language,D) None ,C,Easy Medium,2
What is a Program ?,A) A Set of Low Level Instructions,B) A Set of High Level Instructions,C) A Set of Low Level Programs ,D) A Set of Low Level Programs,B,Easy Medium,2
