 Question ,Option A,Option B,Option C,Option D,Correct Answer,Difficulty Level ,Score for Right Answers
What does DOS Attack Stands for ?,A) Denial of Service attack,B) Disk Operating System attack,C) Data Overload System attack,D) Digital Offensive Strategy attack,A,Easy Medium,2
What is social engineering ?,A) The process of analyzing network traffic to identify security threats,B) The process of encrypting data for secure transmission,C) The process of securing a computer system from physical threats,D) The use of psychological manipulation to trick individuals into revealing sensitive information,D,Easy Medium,2
What does DDOS Attack Stands for ?,A) Data Destruction and Overwriting System,B) Dynamic Data Object System,C) Distributed Denial of Service Attack,D) Direct Download and Open Source,C,Easy Medium,2
What is network security ?,A) The practice of analyzing network traffic for suspicious activity,B) The practice of protecting computer networks from unauthorized access or attacks,C) The practice of securing physical access to computer systems,D) The practice of recovering data from damaged storage devices,B,Easy Medium,2
What is Phishing ?,A) A process of creating multiple copies of digital files for backup purposes,B) A type of social engineering attack aimed at physically stealing personal belongings,C) A technique to secure sensitive information using encryption algorithms,D) Way to Steal anyone's private Data or information through providing the cloning version of any genuine resource,D,Easy Medium,2
What is the Purpose of Phishing ?,A) Spread Awareness about Cybersecurity,B) Steal Information,C) Improve Internet Speed,D) Enhance User Experience,B,Easy Medium,2
Scenario: You receive an email with a subject line stating that your bank account has been compromised and you need to provide your account details to resolve the issue. What should you do?,A) Reply to the email with your account details,B) Forward the email to your bank's customer support,C) Click on any links provided in the email,D) Delete the email immediately,D,Easy Medium,2
What is a brute-force attack ?,A) An attack that exploits vulnerabilities in software applications,B) An attack that floods a network or website with excessive traffic,C) An attack that attempts to guess a password by trying all possible combinations,D) An attack that steals sensitive information through email scams,C,Easy Medium,2
What is the Purpose of Virus ?,A) To Infect or Disrupt the Normal Operation of a Computer System through an Infected Program,B) To Improve the Performance and Speed of a Computer System,C) To Enhance the Security and Protection of a Computer System,D) To Assist in Data Backup and Recovery Processes ,A,Easy Medium,2
Who was the father of Computer Virus ?,A) Tim Berners Lee,B) Linus Torvalds,C) Rasmus Lerdorf,D) Fred Cohen,D,Easy Medium,2
What is Antivirus ? ,A) A Type of Firewall used to block unauthorized access to networks,B) A Software Program designed to detect and remove viruses from computer systems,C) A Programming Language used for Web Development,D) A Hardware Component used for Data Storage,B,Easy Medium,2
What is a DDoS attack ?,A) An attack that floods a network or website with excessive traffic to make it unavailable,B) An attack that steals sensitive information from a computer system,C) An attack that exploits vulnerabilities in software applications,D) An attack that impersonates a legitimate website to steal user information,A,Easy Medium,2
What is a password attack ?,A) An attempt to physically steal a computer system,B) An attempt to crash a network server,C) An attempt to hack into a website's database,D) An attempt to guess a user's password,D,Easy Medium,2
What is encryption ?,A) The process of blocking unauthorized access to a network,B) The process of removing malware from a computer system,C) The process of monitoring network traffic for suspicious activity,D) The process of converting plaintext into ciphertext,D,Easy Medium,2
What is the Purpose of Encryption ?,A) To Speed up Data Transmission over the Network,B) To Hide the Actual Information by Converting it into Complex Codes or Information,C) To Create Backups of Data for Disaster Recovery,D) To Prevent Unauthorized Access to Sensitive Data.,B,Easy Medium,2
